ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos
14;2023;4;0;10;;94,7;5,3;0
14;2023;4;1;10;;94,6;5,4;0
14;2023;4;2;10;;100;0;0
14;2023;5;0;10;;82,8;11,3;5,9
14;2023;5;1;10;;81,7;13,6;4,7
14;2023;5;2;10;;86,2;4,5;9,3
15;2023;0;0;10;;99,4;0,4;0,2
15;2023;0;1;10;;99,4;0,5;0,1
15;2023;0;2;10;;99,7;0,1;0,2
15;2023;1;0;10;;88;9,5;2,5
15;2023;1;1;10;;87,9;9,9;2,2
15;2023;1;2;10;;89,9;2,5;7,6
15;2023;2;0;10;;100;0;0
15;2023;2;1;10;;100;0;0
15;2023;2;2;10;;100;0;0
15;2023;3;0;10;;100;0;0
15;2023;3;1;10;;100;0;0
15;2023;3;2;10;;;;
15;2023;4;0;10;;97,2;2,1;0,7
15;2023;4;1;10;;97,7;2,1;0,2
15;2023;4;2;10;;84,9;1,8;13,3
15;2023;5;0;10;;99,6;0,3;0,1
15;2023;5;1;10;;99,6;0,3;0,1
15;2023;5;2;10;;99,9;0;0,1
16;2023;0;0;10;;82,2;11,9;5,9
16;2023;0;1;10;;83,1;12,1;4,8
16;2023;0;2;10;;76,9;10,9;12,2
16;2023;1;0;10;;95,9;3,9;0,2
16;2023;1;1;10;;95,9;3,9;0,2
16;2023;2;0;10;;80,3;13,2;6,5
16;2023;2;1;10;;80,9;13,6;5,5
16;2023;2;2;10;;76,9;11,2;11,9
16;2023;3;0;10;;;;
16;2023;3;1;10;;;;
16;2023;3;2;10;;;;
16;2023;4;0;10;;97,1;1,2;1,7
16;2023;4;1;10;;99,2;0,8;0
16;2023;4;2;10;;75,6;5,8;18,6
16;2023;5;0;10;;80,9;12,8;6,3
16;2023;5;1;10;;81,7;13,1;5,2
16;2023;5;2;10;;76,9;11,2;11,9
17;2023;0;0;10;;92,3;5,1;2,6
17;2023;0;1;10;;92,6;4,9;2,5
17;2023;0;2;10;;89,2;7,4;3,4
17;2023;1;0;10;;87,7;12;0,3
17;2023;1;1;10;;88,9;10,7;0,4
17;2023;1;2;10;;84,3;15,4;0,3
17;2023;2;0;10;;92,3;4,8;2,9
17;2023;2;1;10;;92,5;4,7;2,8
17;2023;2;2;10;;90,2;5,8;4
17;2023;3;0;10;;;;
17;2023;3;1;10;;;;
17;2023;3;2;10;;;;
17;2023;4;0;10;;95,2;4,7;0,1
17;2023;4;1;10;;95,5;4,4;0,1
17;2023;4;2;10;;89,3;10,7;0
17;2023;5;0;10;;92,1;5,2;2,7
17;2023;5;1;10;;92,4;4,9;2,7
17;2023;5;2;10;;89,2;7,3;3,5
21;2023;0;0;10;;90,7;5,3;4
21;2023;0;1;10;;91,2;5,2;3,6
21;2023;0;2;10;;88;5,8;6,2
21;2023;1;0;10;;89,3;9,4;1,3
21;2023;1;1;10;;90,5;8,2;1,3
21;2023;1;2;10;;85,7;13,1;1,2
21;2023;2;0;10;;90,3;5,3;4,4
21;2023;2;1;10;;90,8;5,2;4
21;2023;2;2;10;;87,5;5,9;6,6
21;2023;3;0;10;;98,7;0,2;1,1
21;2023;3;1;10;;97,9;0,5;1,6
21;2023;3;2;10;;99,1;0;0,9
21;2023;4;0;10;;94,8;3,1;2,1
21;2023;4;1;10;;96,7;3,1;0,2
21;2023;4;2;10;;79,1;3,2;17,7
21;2023;5;0;10;;90,4;5,4;4,2
21;2023;5;1;10;;90,9;5,3;3,8
21;2023;5;2;10;;88,4;5,9;5,7
22;2023;0;0;10;;94,6;2,3;3,1
22;2023;0;1;10;;94,6;2,4;3
22;2023;0;2;10;;94,5;1,1;4,4
22;2023;1;0;10;;90,2;7,5;2,3
22;2023;1;1;10;;88,6;9,4;2
22;2023;1;2;10;;94,9;2;3,1
22;2023;2;0;10;;94,8;1,8;3,4
22;2023;2;1;10;;94,8;1,9;3,3
